Tipo,Estado,Año,Incautadas
Arte Pesca,Aguascalientes,2009,149
Arte Pesca,Aguascalientes,2010,203
Arte Pesca,Aguascalientes,2011,261
Arte Pesca,Aguascalientes,2012,70
Arte Pesca,Aguascalientes,2013,36
Arte Pesca,Baja California,2009,1296
Arte Pesca,Baja California,2010,1121
Arte Pesca,Baja California,2011,580
Arte Pesca,Baja California,2012,1862
Arte Pesca,Baja California,2013,2272
Arte Pesca,Baja California Sur,2009,679
Arte Pesca,Baja California Sur,2010,203
Arte Pesca,Baja California Sur,2011,4101
Arte Pesca,Baja California Sur,2012,243
Arte Pesca,Baja California Sur,2013,1017
Arte Pesca,Campeche,2009,1940
Arte Pesca,Campeche,2010,1415
Arte Pesca,Campeche,2011,438
Arte Pesca,Campeche,2012,230
Arte Pesca,Campeche,2013,1494
Arte Pesca,Chiapas,2009,264
Arte Pesca,Chiapas,2010,310
Arte Pesca,Chiapas,2011,242
Arte Pesca,Chiapas,2012,253
Arte Pesca,Chiapas,2013,356
Arte Pesca,Chihuahua,2009,131
Arte Pesca,Chihuahua,2010,208
Arte Pesca,Chihuahua,2011,112
Arte Pesca,Chihuahua,2012,175
Arte Pesca,Chihuahua,2013,106
Arte Pesca,Coahuila,2009,7
Arte Pesca,Coahuila,2010,45
Arte Pesca,Coahuila,2011,-0
Arte Pesca,Coahuila,2012,40
Arte Pesca,Coahuila,2013,35
Arte Pesca,Colima,2009,265
Arte Pesca,Colima,2010,331
Arte Pesca,Colima,2011,335
Arte Pesca,Colima,2012,108
Arte Pesca,Colima,2013,215
Arte Pesca,Distrito Federal,2009,-0
Arte Pesca,Distrito Federal,2010,-0
Arte Pesca,Distrito Federal,2011,
Arte Pesca,Distrito Federal,2012,-0
Arte Pesca,Distrito Federal,2013,-0
Arte Pesca,Durango,2009,30
Arte Pesca,Durango,2010,192
Arte Pesca,Durango,2011,173
Arte Pesca,Durango,2012,246
Arte Pesca,Durango,2013,132
Arte Pesca,Estado de México,2009,25
Arte Pesca,Estado de México,2010,46
Arte Pesca,Estado de México,2011,87
Arte Pesca,Estado de México,2012,58
Arte Pesca,Estado de México,2013,71
Arte Pesca,Guanajuato,2009,16
Arte Pesca,Guanajuato,2010,176
Arte Pesca,Guanajuato,2011,38
Arte Pesca,Guanajuato,2012,21
Arte Pesca,Guanajuato,2013,158
Arte Pesca,Guerrero,2009,275
Arte Pesca,Guerrero,2010,548
Arte Pesca,Guerrero,2011,351
Arte Pesca,Guerrero,2012,202
Arte Pesca,Guerrero,2013,51
Arte Pesca,Hidalgo,2009,505
Arte Pesca,Hidalgo,2010,491
Arte Pesca,Hidalgo,2011,192
