AÑO ,ESTADO,MUNICIPIO,LOCALIDAD, RNP TITULAR,TITULAR,PESQUERIA,FECHA INICIO,FECHA TERMINO,N°  EMB. ,NOMBRE EMBARCACIÓN,MATRICULA,ZONA DE PESCA
2012,SONORA,EMPALME,EMPALME,2604010500,"SCPP DE R Y A ""LOS CAIMANES"" SCL",CAMARON DE ESTERO,09-21-12,09-20-16,1,CAIMAN XVII,2602291413-6,BAHÍA DE LOBOS AL COLORADO
2012,SONORA,EMPALME,EMPALME,2604010500,"SCPP DE R Y A ""LOS CAIMANES"" SCL",CAMARON DE ESTERO,09-21-12,09-20-16,1,CAIMAN XVIII,2602263113-5,BAHÍA DE LOBOS AL COLORADO
2012,SONORA,EMPALME,EMPALME,2604010500,"SCPP DE R Y A ""LOS CAIMANES"" SCL",CAMARON DE ESTERO,09-21-12,09-20-16,1,NITZIA,2602259013-3,BAHÍA DE LOBOS AL COLORADO
2012,SONORA,EMPALME,EMPALME,2604010500,"SCPP DE R Y A ""LOS CAIMANES"" SCL",CAMARON DE ESTERO,09-21-12,09-20-16,1,NUBIA,2602258513-8,BAHÍA DE LOBOS AL COLORADO
2012,SONORA,EMPALME,EMPALME,2604010500,"SCPP DE R Y A ""LOS CAIMANES"" SCL",CAMARON DE ESTERO,09-21-12,09-20-16,1,NADIA,2602258913-9,BAHÍA DE LOBOS AL COLORADO
2012,SONORA,EMPALME,EMPALME,2604010500,"SCPP DE R Y A ""LOS CAIMANES"" SCL",CAMARON DE ESTERO,09-21-12,09-20-16,1,DESEADA,2602260013-3,BAHÍA DE LOBOS AL COLORADO
2012,SONORA,EMPALME,EMPALME,2604010500,"SCPP DE R Y A ""LOS CAIMANES"" SCL",CAMARON DE ESTERO,09-21-12,09-20-16,1,TERRIBLE,2602259913-9,BAHÍA DE LOBOS AL COLORADO
2012,SONORA,EMPALME,EMPALME,2604010500,"SCPP DE R Y A ""LOS CAIMANES"" SCL",CAMARON DE ESTERO,09-21-12,09-20-16,1,PRESUMIDA,2602259813-9,BAHÍA DE LOBOS AL COLORADO
2012,SONORA,EMPALME,EMPALME,2604010500,"SCPP DE R Y A ""LOS CAIMANES"" SCL",CAMARON DE ESTERO,09-21-12,09-20-16,1,NAYLEN,2602258613-4,BAHÍA DE LOBOS AL COLORADO
2012,SONORA,EMPALME,EMPALME,2604010500,"SCPP DE R Y A ""LOS CAIMANES"" SCL",CAMARON DE ESTERO,09-21-12,09-20-16,1,NAHOMY,2602258713-8,BAHÍA DE LOBOS AL COLORADO
