Area_adscripcion|Apellido_materno|Apellido_materno|Nombre|Nombre_puesto_en_maestro
GUERRERO|ALVAREZ|ÁVILA|FRANCISCO|OFICIAL DE PESCA
MICHOACAN|ROJAS|BARRON|LUIS ARMANDO|OFICIAL DE PESCA
GUERRERO|CRUZ|GARCIA|FERNANDO|OFICIAL DE PESCA
GUERRERO|GALVEZ|LEAL|MANUEL DE JESUS|OFICIAL DE PESCA
SINALOA|LÓPEZ|CORREA|HUGO ARTURO|OFICIAL DE PESCA
SINALOA|AGUILAR|JUSAINO|JUAN LUCIANO|OFICIAL DE PESCA
JALISCO|FLORES |RODRIGUEZ|ALFONSO ANTONIO|OFICIAL DE PESCA
JALISCO|GAVILANES|DOMINGUEZ|JESUS FERNANDO|OFICIAL DE PESCA
JALISCO|LIZARRAGA |ASTORGA|MIGUEL ALBERTO|OFICIAL DE PESCA
JALISCO|GARCÍA|OSUNA|JORGE ARTURO|OFICIAL DE PESCA
JALISCO|PEÑUELAS|ROMÁN|MANUEL IGNACIO|OFICIAL DE PESCA
JALISCO|GAYTAN|SANCHEZ|OSCAR|OFICIAL DE PESCA
JALISCO|VILLEGAS|BELTRAN|JUANA ESTHER|OFICIAL DE PESCA
JALISCO|LIBREROS|GONZÁLEZ|MARÍA DOLORES|OFICIAL DE PESCA
MICHOACAN|PRECIADO|RODRIGUEZ|OMAR|OFICIAL DE PESCA
MICHOACAN|COVARRUBIAS|BOBADILLA|MARCO ANTONIO|OFICIAL DE PESCA
CHIHUAHUA|DELGADO|ROBLES|JOSE ANGEL|OFICIAL DE PESCA
GUERRERO|AGUILAR|BECERRA|JUAN JOSÉ|OFICIAL DE PESCA
QUINTANA. ROO||ZAMBRANO |CARLOS AMADOR|OFICIAL DE PESCA
NAYARIT|BARBOSA|ZAPATA |SILVIANO|OFICIAL DE PESCA
NAYARIT|CARRILLO|ROJAS|JESUS ISAI|OFICIAL DE PESCA
NAYARIT|BECERRA|DELGADO|JORGE|OFICIAL DE PESCA
NAYARIT|GARCÍA|VERCELLINO|RAÚL ANTONIO|OFICIAL DE PESCA
NAYARIT|SANTIAGO|TERAN|ALEJO|OFICIAL DE PESCA
NAYARIT|MENA|ESPINOZA|RAMIRO|OFICIAL DE PESCA
NAYARIT|MORALES|BURGUEÑO|MANUEL ANTONIO|OFICIAL DE PESCA
NAYARIT|GARCIA|VALDEZ|GONZALO ION|OFICIAL DE PESCA
NAYARIT|URIBE|RIVERO|TZETNIQUE LIBIER|OFICIAL DE PESCA
TAMAULIPAS|QUINTERO|ARREDONDO|ADRIAN|OFICIAL DE PESCA
NAYARIT|CABALLERO|TERRAZAS|PETRA DE JESÚS|OFICIAL DE PESCA
NAYARIT|ZEGER|PALMA|CARLOS ARTURO|OFICIAL DE PESCA
OAXACA|OSUNA|CABALEIRO|LUIS MANUEL|OFICIAL DE PESCA
OAXACA|CECENES|ONOFRE|MATIAS|OFICIAL DE PESCA
OAXACA|LÓPEZ|DELGADO|FIDENCIO ALBERTO|OFICIAL DE PESCA
OAXACA|GONZÁLEZ|RUÍZ|FRANCISCO JAVIER|OFICIAL DE PESCA
PUEBLA|MONTIEL|RAMÍREZ|INDRA LILIANA|OFICIAL DE PESCA
QUERETARO|LOPEZ|OSUNA|LEONARDO|OFICIAL DE PESCA
CAMPECHE|HERNANDEZ |YAU |JUAN ANTONIO|OFICIAL DE PESCA
QUINTANA. ROO|POLANCO|CASTILLO|JESUS IGNACIO|OFICIAL DE PESCA
QUINTANA. ROO|CONTRERAS|TOVILLA|ALFREDO|OFICIAL DE PESCA
QUINTANA. ROO|QUINTERO|BOUSQUET|RICARDO|OFICIAL DE PESCA
NUEVO LEON|MARTÍNEZ|MEDINA|ANGÉLICA GABRIELA|OFICIAL DE PESCA
S.L.P|MORALES|ÁLVAREZ|ARTURO|OFICIAL DE PESCA
YUCATAN|GEMISIS|OSUNA |JRISTOS|OFICIAL DE PESCA
SINALOA|BORREGO|PEREZ|JESUS MIGUEL|OFICIAL DE PESCA
SINALOA|CONDE|DUARTE|ADRIAN|OFICIAL DE PESCA
SINALOA|ESCAMILLAS|ARELLANO|GUILLERMO|OFICIAL DE PESCA
