Año,Beneficiario,Nombre_proyecto,Tipo_proyecto,Especie,Estado,Municipio,Localidad,Monto
2009,"S.C.P.P. ARROYO EL HUARACHE, S.R.L. DE C.V.",GRANJA ACUÍCOLA ARROYO EL HUARACHE,ACTIVOS PRODUCTIVOS Y PROGRAMA SOPORTE,TILAPIA,TABASCO,CENTLA,EJIDO NUEVA CENTLA,1926739
2009,"S.C.P.P. BARRA DE TUPILCO, S.C.L.",REHABILITACIÓN DE INFRAESTRUCTURA Y EQUIPAMIENTO PARA LA PRODUCCIÓN OSTRÍCOLA,ACTIVOS PRODUCTIVOS Y PROGRAMA SOPORTE,OSTIÓN,TABASCO,PARAÍSO,BARRA DE TUPILCO,1447122
2009,"S.C.P.P. EL CHAMIZAL, S.C. DE R.L.",PLANTA DE PROCESO Y CONSERVACIÓN EL CHAMIZAL,ACTIVOS PRODUCTIVOS Y PROGRAMA SOPORTE,"ESCAMA, CAMARÓN, JAIBA, TIBURÓN, OSTIÓN",TAMAULIPAS,MATAMOROS,LAS HIGUERILLAS,1860462
2009,"S.C.P.P. LANGOSTEROS DEL CARIBE, S.C. DE R.L.",EQUIPAMIENTO DE CENTRO DE ACOPIO DE PRODUCTOS PESQUEROS,ACTIVOS PRODUCTIVOS Y PROGRAMA SOPORTE,"ESCAMA, CARACOL, LANGOSTA",QUINTANA ROO,XCALAK,OTHÓN P. BLANCO,1369548
2009,"S.C.P.P. LIBERACIÓN 2003, S.C. DE R.L. DE C.V.",PLANTA COMERCIALIZADORA DE PESCADORES Y MARISCOS LIBERACIÓN 2003,ACTIVOS PRODUCTIVOS Y PROGRAMA SOPORTE,"ESCAMA, OSTIÓN, CAMARÓN",TABASCO,EL BELLOTE,PARAÍSO,1997312
2009,"S.C.P.P. PESCADORES DE LA CALETA, S.C. DE R.L.",ASISTENCIA TÉCNICA Y CAPACITACIÓN PARA LA ENGORDA DE TILAPIA EN TANQUES CIRCULARES,PROGRAMA SOPORTE,TILAPIA,CAMPECHE,DEL CARMEN,EJIDO ISLA AGUADA,126000
2009,"S.C.P.P. PESCADORES DE VIGIA CHICO, S.C. DE R.L.",ADQUISICIÓN E INSTALACIÓN DE UN GENERADOR DE ENERGÍA ELÉCTRICA,ACTIVOS PRODUCTIVOS ,"ESCAMA, LANGOSTA",QUINTANA ROO,TULUM,PUNTA ALLEN,198800
2009,"S.C.P.P. PLAN DE AYUTLA, S.C. DE R.L.",UNIDAD PARA PRODUCCIÓN INTENSIVA DE TILAPIA PLAN DE AYUTLA,ACTIVOS PRODUCTIVOS Y PROGRAMA SOPORTE,TILAPIA,TAMAULIPAS,MATAMOROS,CONGREGACIÓN EL GOMEÑO,2000000
2009,"S.C.P.P. XLA BARCO, S.C. DE R.L.","CONSTRUCCIÓN, EQUIPAMIENTO Y OPERACIÓN DE UNA FÁBRICA DE HIELO EN EL CENTRO DE ACOPIO DE PRODUCTOS PESQUEROS",ACTIVOS PRODUCTIVOS Y PROGRAMA SOPORTE,"ESCAMA, PULPO, LANGOSTA",YUCATÁN,HUCNUMÁ,PUERTO DE SISAL,1010602
2009,"S.C.P.P. Y OSTRÍCOLA LAS ISLAS DEL PAQUILLO, S.C. DE R.L. DE","REHABILITACIÓN, CONSTRUCCIÓN Y EQUIPAMIENTO DE INFRAESTRUCTURA PARA MEJORAR EL PROCESO PRODUCTIVO OSTRÍCOLA",ACTIVOS PRODUCTIVOS Y PROGRAMA SOPORTE,OSTIÓN,TABASCO,CÁRDENAS,EJIDO SAN RAFAEL Y PUERTO DE SÁNCHEZ MAGALLANES,1999338
2009,"SCPPA RÍO REAL DE SALINAS, S. DE R.L.",PRODUCCIÓN DE TILAPIA EN TINAS CIRCULARES DE GEOMEMBRANA,ACTIVOS PRODUCTIVOS Y PROGRAMA SOPORTE,TILAPIA,CAMPECHE,SAN FRANCISCO DE CAMPECHE,TIXMUCUY,1650000
