Folio_denuncia,Fecha_captura,Estado,Municipio,Localidad,Lugar_conocido,Tipo_denuncia,Instrumento_utilizado,Estatus,Especie
25150001,05/01/2015,Sinaloa,Angostura,La Reforma,MUELLE DE LA LAGUNA SANTA MARIA,Captura ilegal,Embarcación Menor,Atendido,JAIBA
30150002,06/01/2015,Veracruz,Tamiahua,La Puntilla,LAGUNA DE TAMIAHUA,Captura ilegal,Arte de pesca,Atendido,LEBRANCHA
14150003,06/01/2015,Jalisco,Tomatlán,Presa Cajón de Peña (La Presa),COOPERATIVA,Captura ilegal,Embarcación Menor,Atendido,LOBINA
14150004,07/01/2015,Jalisco,Tomatlán,Presa Cajón de Peña (La Presa),PRESA CAJON DE PEÑAS,Captura ilegal,Arte de pesca,Atendido,OTRAS
3150005,10/01/2015,Baja California Sur,Loreto,Loreto,"RESTAURANT ""PICAZON""",Captura ilegal,Método de pesca,Atendido,PARGO
14150006,10/01/2015,Jalisco,null,null,LA QUEBRADA,Captura ilegal,Embarcación Menor,Atendido,LOBINA
3150007,11/01/2015,Baja California Sur,Loreto,Loreto,"RESTAURANT ""PICAZON""NORTE DE",Captura ilegal,Método de pesca,Atendido,CABRILLA
3150008,11/01/2015,Baja California Sur,Loreto,Loreto,"RESTAURANT ""PICAZON""NORTE DE",Captura ilegal,Arte de pesca,Atendido,CABRILLA
14150009,13/01/2015,Jalisco,Tomatlán,Majahuitas,ESTERO MAJAHUAS,Captura ilegal,Arte de pesca,Atendido,OTRAS
14150010,14/01/2015,Jalisco,Ocotlán,Orilla del Río,EL RIO,Comercialización ilegal,Embarcación Menor,Atendido,MOJARRA
14150011,14/01/2015,Jalisco,Cabo Corrientes,Las Majahuitas,LAS MAJAHUITAS,Captura ilegal,Embarcación Menor,Atendido,OTRAS
14150012,14/01/2015,Jalisco,Colotlán,Colotlán,"LAGO DE CHAPALA, MEZCALA Y OCOTLAN",Captura ilegal,Arte de pesca,Atendido,OTRAS
14150013,14/01/2015,Jalisco,Puerto Vallarta,Puerto Vallarta,LONJA PESQUERA,Transportación ilegal,Otros,Atendido,-1
14150014,14/01/2015,Jalisco,Ocotlán,Ocotlán,"CALLE 1 DEMAYO COL. TORRECILLAS, OCOTLAN,JALISCO",Comercialización ilegal,Otros,Atendido,OTRAS
14150015,15/01/2015,Jalisco,La Huerta,Pérula,"VARIOSLUGARES CABO CORRIENTES,PUNTA PERULA,",Captura ilegal,Embarcación Menor,Atendido,OTRAS
6150016,19/01/2015,Colima,Manzanillo,Playa de Oro,BOCA DE COCO,Captura ilegal,Otros,Atendido,SIERRA
25150017,20/01/2015,Sinaloa,Ahome,Las Ballenas,SISTEMA LAGUNAR LA BALLENAS,Captura ilegal,Embarcación Menor,Atendido,OTRAS
14150018,20/01/2015,Jalisco,Villa Hidalgo,Juiquiñaqui de Arriba (La Haciendita),PRESA JUQUIÑAQUI,Captura ilegal,Embarcación Menor,Atendido,OTRAS
2150019,20/01/2015,Baja California,Mexicali,Mexicali,"SAN FELIPE, B.C.",Captura ilegal,Embarcación Menor,Atendido,OTRAS
30150020,21/01/2015,Veracruz,Tecolutla,Tecolutla,BONACA,Captura ilegal,Método de pesca,Atendido,ROBALO
4150021,23/01/2015,Campeche,Campeche,San Francisco de Campeche,CAMPECHE,Captura ilegal,Embarcación Menor,Atendido,OTRAS
14150022,24/01/2015,Jalisco,null,null,PRESA CAJON DE PEÑA,Captura ilegal,Embarcación Menor,Atendido,LOBINA
25150023,26/01/2015,Sinaloa,Navolato,Altata,EL TETUAN NUEVO,Captura ilegal,Embarcación Menor,Atendido,ALMEJA
14150024,30/01/2015,Jalisco,Valle de Guadalupe,Valle de Guadalupe,VALLE DE GPE.,Captura ilegal,Otros,Atendido,OTRAS
14150025,30/01/2015,Jalisco,Valle de Guadalupe,Valle de Guadalupe,VALLE DE GPE.,Captura ilegal,Otros,Atendido,OTRAS
