Folio_denuncia,Fecha_captura,Estado,Municipio,Localidad,Lugar_conocido,Tipo_denuncia,Instrumento_utilizado,Estatus,Especie
30140096,06/06/2014,Veracruz,Tamiahua,La Reforma,LA REFORMA,Comercialización ilegal,Método de pesca,Atendido,CAMARON
27140097,09/06/2014,Tabasco,Jonuta,Jonuta,RANCHERIA EL ZAPOTAL,Captura ilegal,Arte de pesca,Atendido,MOJARRA
25140098,16/06/2014,Sinaloa,Mazatlán,El Walamo,COMO EL OSTIAL,Captura ilegal,Otros,Atendido,CAMARON
10140099,19/06/2014,Durango,Nombre de Dios,Nombre de Dios,PRESA CONTALPA,Captura ilegal,Otros,Atendido,OTRAS
6140100,20/06/2014,Colima,Manzanillo,Manzanillo,ESCOLLERA DE LAS BRISAS.,Captura ilegal,Embarcación Menor,Atendido,SARDINA
26140101,21/06/2014,Sonora,Empalme,Empalme,PLAYA DEL COCHORIT,Captura ilegal,Embarcación Menor,Atendido,JAIBA
26140102,24/06/2014,Sonora,Empalme,Empalme,BELLA VISTA,Captura ilegal,Embarcación Menor,Atendido,CAMARON
4140103,24/06/2014,Campeche,Campeche,Pueblo Nuevo,SEYBA,Captura ilegal,Vehiculo,Atendido,PULPO
18140104,30/06/2014,Nayarit,Tepic,Embarcadero de la Cortina,LA CORTINA DE LA PRESA AGUAMILPA,Captura ilegal,Vehiculo,Atendido,MOJARRA
25140105,30/06/2014,Sinaloa,Rosario,Potrero de los Laureles,RIO BALUARTE- POTRERO DE LOS LAURELES.,Captura ilegal,Arte de pesca,Atendido,LANGOSTINO
30140106,02/07/2014,Veracruz,Coatzacoalcos,Coatzacoalcos,COATZACOALCOS VERACRUZ,Captura ilegal,Arte de pesca,Atendido,ROBALO
11140107,03/07/2014,Guanajuato,Acámbaro,Iramuco,LAGO DE CUITZEO,Captura ilegal,Embarcación Menor,Atendido,MOJARRA
14140108,04/07/2014,Jalisco,Cabo Corrientes,Los Corrales,CUCHARAS,Captura ilegal,Embarcación Menor,Atendido,GUACHINANGO
25140109,08/07/2014,Sinaloa,null,null,TEACAPAN,Captura ilegal,Método de pesca,Atendido,CAMARON
25140110,08/07/2014,Sinaloa,Culiacán,Cospita,COSPITA,Captura ilegal,Arte de pesca,Atendido,CAMARON
26140111,08/07/2014,Sonora,Guaymas,Heroica Guaymas,GUAYMAS,Otros,Arte de pesca,Atendido,JAIBA
18140112,09/07/2014,Nayarit,Acaponeta,San Miguel,ALFREDO B. BONFIL Y JALISCO,Captura ilegal,Arte de pesca,Atendido,MOJARRA
26140113,10/07/2014,Sonora,Huatabampo,Melchor Ocampo,LA ESCOLLERA,Captura ilegal,Embarcación Menor,Atendido,-1
12140114,14/07/2014,Guerrero,Técpan de Galeana,Puerto Vicente Guerrero,PUERTO VICENTE GUERRERO,Captura ilegal,Arte de pesca,Atendido,OSTION
4140115,21/07/2014,Campeche,Campeche,San Francisco de Campeche,"XPICOB, CAMPECHE",Otros,Embarcación Menor,Atendido,PULPO
4140116,21/07/2014,Campeche,Campeche,San Francisco de Campeche,"XPICOB, CAMPECHE",Otros,Embarcación Menor,Atendido,PULPO
25140117,21/07/2014,Sinaloa,Mazatlán,Mazatlán,PRESA PICACHOS,Captura ilegal,Vehiculo,Atendido,-1
25140118,21/07/2014,Sinaloa,Mazatlán,La Granja,LAS IGUANAS,Captura ilegal,Vehiculo,Atendido,OTRAS
25140119,21/07/2014,Sinaloa,Mazatlán,Casas Viejas,CASA VIEJAS,Captura ilegal,Otros,Atendido,OTRAS
25140120,21/07/2014,Sinaloa,Mazatlán,Puerta de San Marcos,PUERTA DE SAN MARCOS,Captura ilegal,Otros,Atendido,OTRAS
25140121,21/07/2014,Sinaloa,Mazatlán,Puerta de San Marcos,LA PUERTA,Captura ilegal,Vehiculo,Atendido,OTRAS
25140122,21/07/2014,Sinaloa,Mazatlán,Puerta de San Marcos,LA PUERTA,Captura ilegal,Otros,Atendido,OTRAS
25140123,21/07/2014,Sinaloa,Mazatlán,Puerta de San Marcos,LA PUERTA,Captura ilegal,Otros,Atendido,OTRAS
25140124,21/07/2014,Sinaloa,Mazatlán,Isla Venados,LAS IGUANAS,Captura ilegal,Método de pesca,Atendido,OTRAS
25140125,21/07/2014,Sinaloa,Mazatlán,Mazatlán,PRESA PICACHOS,Captura ilegal,Embarcación Menor,Atendido,LOBINA
25140126,21/07/2014,Sinaloa,Mazatlán,Isla Venados,LAS IGUANAS,Captura ilegal,Método de pesca,Atendido,OTRAS
25140127,21/07/2014,Sinaloa,Mazatlán,Isla Venados,LAS IGUANAS,Captura ilegal,Otros,Atendido,OTRAS
25140128,21/07/2014,Sinaloa,Mazatlán,Casas Viejas,CASAS VIEJAS,Captura ilegal,Vehiculo,Atendido,OTRAS
25140129,21/07/2014,Sinaloa,Mazatlán,Casas Viejas,CASAS VIEJAS,Captura ilegal,Otros,Atendido,OTRAS
25140130,21/07/2014,Sinaloa,Mazatlán,Mazatlán,"EMBARCADERO DEL PUEBLO DE LAS IGUANAS, CONCORDIA",Transportación ilegal,Vehiculo,Atendido,-1
25140131,21/07/2014,Sinaloa,Mazatlán,Mazatlán,PRESA PICACHOS,Posesión ilegal,Vehiculo,Atendido,-1
25140132,21/07/2014,Sinaloa,Mazatlán,Mazatlán,PRESA PICACHOS,Posesión ilegal,Vehiculo,Atendido,-1
25140133,21/07/2014,Sinaloa,Mazatlán,Mazatlán,PRESA PICACHOS,Comercialización ilegal,Vehiculo,Atendido,-1
25140134,21/07/2014,Sinaloa,Mazatlán,Mazatlán,PRESA PICACHOS,Comercialización ilegal,Vehiculo,Atendido,-1
