Año,Beneficiario,RNPA,Nombre_proyecto,Tipo_proyecto,Especie,Estado,Municipio,Localidad,Monto
2009,"S.C.P.P. ARROYO EL HUARACHE, S.R.L. DE C.V.",,GRANJA ACUÍCOLA ARROYO EL HUARACHE,ACTIVOS PRODUCTIVOS Y PROGRAMA SOPORTE,TILAPIA,TABASCO,CENTLA,EJIDO NUEVA CENTLA,1926739
2009,"S.C.P.P. BARRA DE TUPILCO, S.C.L.",,REHABILITACIÓN DE INFRAESTRUCTURA Y EQUIPAMIENTO PARA LA PRODUCCIÓN OSTRÍCOLA,ACTIVOS PRODUCTIVOS Y PROGRAMA SOPORTE,OSTIÓN,TABASCO,PARAÍSO,BARRA DE TUPILCO,1447122
2009,"S.C.P.P. EL CHAMIZAL, S.C. DE R.L.",,PLANTA DE PROCESO Y CONSERVACIÓN EL CHAMIZAL,ACTIVOS PRODUCTIVOS Y PROGRAMA SOPORTE,"ESCAMA, CAMARÓN, JAIBA, TIBURÓN, OSTIÓN",TAMAULIPAS,MATAMOROS,LAS HIGUERILLAS,1860462
2009,"S.C.P.P. LANGOSTEROS DEL CARIBE, S.C. DE R.L.",,EQUIPAMIENTO DE CENTRO DE ACOPIO DE PRODUCTOS PESQUEROS,ACTIVOS PRODUCTIVOS Y PROGRAMA SOPORTE,"ESCAMA, CARACOL, LANGOSTA",QUINTANA ROO,XCALAK,OTHÓN P. BLANCO,1369548
2009,"S.C.P.P. LIBERACIÓN 2003, S.C. DE R.L. DE C.V.",,PLANTA COMERCIALIZADORA DE PESCADORES Y MARISCOS LIBERACIÓN 2003,ACTIVOS PRODUCTIVOS Y PROGRAMA SOPORTE,"ESCAMA, OSTIÓN, CAMARÓN",TABASCO,EL BELLOTE,PARAÍSO,1997312
2009,"S.C.P.P. PESCADORES DE LA CALETA, S.C. DE R.L.",,ASISTENCIA TÉCNICA Y CAPACITACIÓN PARA LA ENGORDA DE TILAPIA EN TANQUES CIRCULARES,PROGRAMA SOPORTE,TILAPIA,CAMPECHE,DEL CARMEN,EJIDO ISLA AGUADA,126000
2009,"S.C.P.P. PESCADORES DE VIGIA CHICO, S.C. DE R.L.",,ADQUISICIÓN E INSTALACIÓN DE UN GENERADOR DE ENERGÍA ELÉCTRICA,ACTIVOS PRODUCTIVOS ,"ESCAMA, LANGOSTA",QUINTANA ROO,TULUM,PUNTA ALLEN,198800
2009,"S.C.P.P. PLAN DE AYUTLA, S.C. DE R.L.",,UNIDAD PARA PRODUCCIÓN INTENSIVA DE TILAPIA PLAN DE AYUTLA,ACTIVOS PRODUCTIVOS Y PROGRAMA SOPORTE,TILAPIA,TAMAULIPAS,MATAMOROS,CONGREGACIÓN EL GOMEÑO,2000000
2009,"S.C.P.P. XLA BARCO, S.C. DE R.L.",,"CONSTRUCCIÓN, EQUIPAMIENTO Y OPERACIÓN DE UNA FÁBRICA DE HIELO EN EL CENTRO DE ACOPIO DE PRODUCTOS PESQUEROS",ACTIVOS PRODUCTIVOS Y PROGRAMA SOPORTE,"ESCAMA, PULPO, LANGOSTA",YUCATÁN,HUCNUMÁ,PUERTO DE SISAL,1010602
2009,"S.C.P.P. Y OSTRÍCOLA LAS ISLAS DEL PAQUILLO, S.C. DE R.L. DE",,"REHABILITACIÓN, CONSTRUCCIÓN Y EQUIPAMIENTO DE INFRAESTRUCTURA PARA MEJORAR EL PROCESO PRODUCTIVO OSTRÍCOLA",ACTIVOS PRODUCTIVOS Y PROGRAMA SOPORTE,OSTIÓN,TABASCO,CÁRDENAS,EJIDO SAN RAFAEL Y PUERTO DE SÁNCHEZ MAGALLANES,1999338
2009,"SCPPA RÍO REAL DE SALINAS, S. DE R.L.",,PRODUCCIÓN DE TILAPIA EN TINAS CIRCULARES DE GEOMEMBRANA,ACTIVOS PRODUCTIVOS Y PROGRAMA SOPORTE,TILAPIA,CAMPECHE,SAN FRANCISCO DE CAMPECHE,TIXMUCUY,1650000
2011,EMILIANO FERREYRA DELGADO,404000622,REHABILITACIÓN Y EQUIPAMIENTO DE PLANTA PROCESADORA DE PESCADOS Y MARISCOS,PROYECTO INTEGRAL PESQUERO,"ESCAMA MARINA, PULPO Y CARACOL.",CAMPECHE,CHAMPOTÓN,EJIDO PARAISO,439250
2011,JOSÉ SALOMÓN ORTEGA HERNÁNDEZ,403001050,ADQUISICIÓN DE FÁBRICA DE HIELO Y SUBESTACIÓN TRIFÁSICA PARA LA CONSERVACIÓN DE PESCADOS Y MARISCOS.,PROYECTO INTEGRAL PESQUERO,"ESCAMA MARINA, TIBURÓN Y PULPO.",CAMPECHE,CHAMPOTÓN,SEYBAPLAYA,883371
2011,JOSÉ ALBERTO ABRAHAM HOYOS,N/D,PRODUCCIÓN INTENSIVA DE TILAPIA EN TINAS DE GEOMEBRANA,PROYECTO INTEGRAL DE ACUACULTURA,TILAPIA,CAMPECHE,CALKINI,DZITBALCHÉ,1265221
2011,"S.P. EL PEDREGAL DE B.S., S.C. DE R.L. DE C.V.",402005540,MODERNIZACIÓN DE LA PLANTA PARA EL ACOPIO DE ESPECIES MARINAS,PROYECTO INTEGRAL PESQUERO,ESCAMA MARINA,CAMPECHE,CARMEN,CARMEN,1500000
2011,"S.C. 20 DE NOVIEMBRE, A. DE P.P. DE B.S., S.C. DE R.L. DE C.V.",402006209,CULTIVO DE TILAPIA EN TINAS CIRCULARES DE GEOMEMBRANA,PROYECTO INTEGRAL DE ACUACULTURA,TILAPIA,CAMPECHE,CARMEN,CARMEN,238832
2011,"S.C.P. DE B.S. RENOVACIÓN PESQUERA. , S.C. DE R.L.",402006183,CULTIVO DE TILAPIA EN TINAS CIRCULARES,PROYECTO INTEGRAL DE ACUACULTURA,TILAPIA,CAMPECHE,CARMEN,EL JOBAL,672052
2011,"S.C.P.P. DE B.S. FUERZA DEL MAR, S.C. DE R.L.",405000894,CULTIVO DE TILAPIA (Oreochromis niloticus) EN TINAS CIRCULARES DE GEOMEMBRANA,PROYECTO INTEGRAL DE ACUACULTURA,TILAPIA,CAMPECHE,CARMEN,CARMEN,580440
2011,"S.C. CAYO ARCAS DE B. Y S. DE ALTURA, S.C. DE R.L.",402006217,REMODELACIÓN DE INSTALACIONES PARA CULTIVO DE TILAPIA (Oreochromis niloticus) EN TINAS CIRCULARES,PROYECTO INTEGRAL DE ACUACULTURA,TILAPIA,CAMPECHE,CARMEN,EL JOBAL,401679
2011,"S.C.P.P. MANIGUA, S.C. DE R.L.",410000921,CULTIVO DE TILAPIA (Oreochromis niloticus) EN TINAS CIRCULARES DE GEOMEMBRANA,PROYECTO INTEGRAL DE ACUACULTURA,TILAPIA,CAMPECHE,CARMEN,CARMEN,226006
2011,"SOCIEDAD ZACATAL CARMEN, S.C. DE R.L. DE C.V.",402006100,CONSTRUCCIÓN DE UNA GRANJA ACUÍCOLA PARA LA PRODUCCIÓN INTENSIVA DE LA MOJARRA TILAPIA EN EL EJIDO CHICBUL,PROYECTO INTEGRAL DE ACUACULTURA,TILAPIA,CAMPECHE,CARMEN,CHICBUL,966506
2011,"S.C.P. DE B.S. LAGUNA DE PANLAO, DE R.L.",402003214,CULTIVO DE TILAPIA EN TINAS DE GEOMEMBRANA,PROYECTO INTEGRAL DE ACUACULTURA,TILAPIA,CAMPECHE,CARMEN,CARMEN,207410
2011,"S.C.P.P. PESCADORES DE BANCO CHINCHORRO, S.C. DE R.L.",2302000787,EQUIPAMIENTO DEL CENTRO  DE ACOPIO DE LA S.C.P.P. PESCADORES DEL BANCO CHINCHORRO S.C. de R.L.,PROYECTO INTEGRAL PESQUERO,"ESCAMA MARINA, CARACOL Y LANGOSTA.",QUINTANA ROO,OTHON POMPEYO BLANCO,CHETUMAL,495498
2011,"S.C.P.P. LANGOSTEROS DEL CARIBE, S.C. DE .R.L.",2302001124,"CONSTRUCCIÓN Y EQUIPAMIENTO DE UN CUARTO DE CONCERVACIÓN EN EL CENTRO DE ACOPIO DE LA S.C.P.P. LANGOSTEROS DEL CARIBE, S.C. de R.L.",PROYECTO INTEGRAL PESQUERO,"ESCAMA MARINA, CARACOL Y LANGOSTA.",QUINTANA ROO,OTHON POMPEYO BLANCO,MAHAHUAL,1270313
2011,"S.C.P.P. COZUMEL, S.C. DE R.L.",2301000119,EQUIPAMIENTO DEL CENTRO  DE RECEPCIÓN DE PRODUCTOS PESQUEROS DE LA S.C.P.P. COZUMEL S.C. DE R.L.,PROYECTO INTEGRAL PESQUERO,ESCAMA MARINA Y LANGOSTA.,QUINTANA ROO,COZUMEL,COZUMEL,963476
2011,ANDREA LARA ROMÁN,2701001758,CONSTRUCCIÓN DE INFRAESTRUCTURA PARA LA CONSERVACIÓN DE PESCADOS EN FRONTERA TABASCO.,PROYECTO INTEGRAL PESQUERO,ESCAMA MARINA.,TABASCO,CENTLA,FRONTERA,1344858
2011,"S.C., LOS PESCADORES DEL COMPELJO, S.C. de R.L. de C.V.",2704002589,"EQIPO DE ACOPIO, CONSERVACIÓN DE PESCADOS Y MARISCOS.",PROYECTO INTEGRAL PESQUERO,ESCAMA MARINA.,TABASCO,CÁRDENAS,SÁNCHES MAGALLANES,527558
2011,"S.C.P.P. PASO DEL UBERAL, S.R.L. DE C.V.",2704000567,"CAPTURA DE PESCADO, ACOPIO Y CONSERVACIÓN PARA SU VENTA.",PROYECTO INTEGRAL PESQUERO,ESCAMA MARINA.,TABASCO,CÁRDENAS,PAILEBOT,511724
2011,"S.C.P.P., LAS PALMAS DE SÁNCHEZ MAGALLANES, S.R.L. de C.V.",2704002670,EQUIPO DE ACOPIO Y CONSERVACIÓN DE PESCADO PARA SU VENTA.,PROYECTO INTEGRAL PESQUERO,ESCAMA MARINA.,TABASCO,CÁRDENAS,SÁNCHES MAGALLANES,702190
2011,"CONSUMIDORES DE BIENES Y SERVICIOS, S.C. DE R.L.",N/D,CONSTRUCCIÓN DE CÁMARAS DE CONSERVACIÓN DE PRODUCTOS PESQUEROS.,PROYECTO INTEGRAL PESQUERO,ESCAMA MARINA.,TABASCO,PARAÍSO,VILLA CHILTEPEC,1018699
2011,"S.C.P.P. MECOACÁN, S.C.L.",2703000246,"REHABILITACIÓN, TECNIFICACIÓN Y MANTENIMIENTO DE LA GRANJA DE ENGORDA INTENSIVA DE OSTIÓN ""MECOACAN"".",PROYECTO INTEGRAL DE MARICULTURA,OSTIÓN,TABASCO,PARAÍSO,PUERTO CEIBA,564644
2011,JOSÉ DEL CARMEN HERNÁNDEZ PRIEGO,2702000635,"CULTIVO DE TILAPIA (Oreochromis niloticus) EN ESTANQUES CIRCULARES, LA OLLA.",PROYECTO INTEGRAL DE ACUACULTURA,TILAPIA,TABASCO,JONUTA,RIBERA BAJA 1a SECCIÓN,1020936
2011,"S.C.P.P. RINCÓN DE LAS FLORES, S.C. DE R.L.",2804001176,REMODELACIÓN Y EQUIPAMIENTO DE PLANTA DE PROCESO DE PRODUCTOS PESQUEROS.,PROYECTO INTEGRAL PESQUERO,"CAMARÓN, ESCAMA MARINA Y TIBURÓN.",TAMAULIPAS,MATAMOROS,MATAMOROS,1228300
2011,ORLANDO PASCUAL GONZÁLEZ LÓPEZ,2808006965,EQUIPAMIENTO DE PLANTA DE PROCESO DE PRODUCTOS PESQUEROS.,PROYECTO INTEGRAL PESQUERO,ESCAMA MARINA Y TIBURÓN.,TAMAULIPAS,TAMPICO,TAMPICO,457191
2011,MIGUEL ÁNGEL VILCHIS GÓMEZ,2808000166,"REHABILITACIÓN DE CENTRO DE ACOPIO DE PRODUCTOS PESQUEROS EN EL MUNICIPIO DE TAMPICO, TAMAULIPAS.",PROYECTO INTEGRAL PESQUERO,ESCAMA MARINA Y TIBURÓN.,TAMAULIPAS,TAMPICO,CASCAJAL,609563
2011,CYNTHIA PATRICIA URBINA DEL ÁNGEL,2808006692,"CONSTRUCCIÓN DE CENTRO DE ACOPIO PARA PRODUCTOS PROVENIENTES DEL MAR, EN EL MUNICIPIO DE TAMPICO.",PROYECTO INTEGRAL PESQUERO,CAMARÓN.,TAMAULIPAS,TAMPICO,TAMPICO,1184454
2011,MARTÍN HERNÁNDEZ HERNÁNDEZ,2808007542,"CONSTRUCCIÓN DE CENTRO DE ACOPIO DE PRODUCTOS PROVENIENTES DEL MAR, EN LA COLONIA GUERRERO, MUNICIPIO DE TAMPICO, TAMAULIPAS.",PROYECTO INTEGRAL PESQUERO,CAMARÓN .,TAMAULIPAS,TAMPICO,CASCAJAL,1092903
2011,"S.C.P.P. PLAN DE AYUTLA, S.C. DE R.L.",280400068,"UNIDAD PARA PRODUCCIÓN INTENSIVA DE TILAPIA ""PLAN DE AYUTLA"".",PROYECTO INTEGRAL DE ACUACULTURA,TILAPIA,TAMAULIPAS,MATAMOROS,EL GOMEÑO,1269289
